Population;Estimate;Std_error;Median_MamDominance;SD_MamDominance;n;Dataset
AC;-0,05;0,23;0;0;144;Local population
AI;-1;0,49;0;0;70;Local population
S;-0,75;0,37;0;0;95;Local population
S*;0,55;0,12;0;0;NA;Local population
TC;-0,37;0,72;0,46;0,007;20;Local population
TI;1,2;0,83;0,49;0,12;32;Local population
C Low;1,87;1,86;0,53;0,13;96;Country-wide dataset
C Mid;1,02;0,44;0,75;0,09;170;Country-wide dataset
C High;-0,69;0,26;0,91;0,03;34;Country-wide dataset
